iter	Passed	Remaining
0	1	135
1	2	139
2	4	139
3	5	129
4	6	130
5	8	126
6	9	129
7	11	129
8	12	128
9	13	125
10	15	122
11	16	120
12	17	120
13	19	118
14	20	117
15	21	115
16	23	113
17	24	111
18	26	110
19	27	108
20	28	107
21	29	105
22	30	103
23	32	102
24	33	101
25	35	99
26	36	98
27	37	97
28	39	95
29	40	94
30	41	92
31	43	91
32	44	90
33	45	89
34	47	87
35	48	86
36	50	85
37	51	83
38	52	82
39	53	80
40	55	79
41	55	77
42	57	75
43	58	74
44	59	73
45	61	71
46	62	70
47	63	69
48	65	68
49	67	67
50	69	66
51	70	65
52	72	63
53	73	62
54	74	60
55	75	59
56	77	58
57	78	56
58	79	55
59	81	54
60	82	52
61	83	51
62	85	50
63	86	48
64	88	47
65	89	46
66	90	44
67	91	43
68	93	41
69	94	40
70	96	39
71	97	37
72	98	36
73	100	35
74	101	33
75	102	32
76	104	31
77	105	29
78	106	28
79	108	27
80	109	25
81	110	24
82	111	22
83	113	21
84	114	20
85	115	18
86	117	17
87	118	16
88	119	14
89	121	13
90	122	12
91	123	10
92	125	9
93	126	8
94	127	6
95	129	5
96	130	4
97	132	2
98	133	1
99	134	0
