iter	Passed	Remaining
0	130	130814
1	133	66835
2	137	45649
3	139	34849
4	145	28863
5	147	24516
6	151	21530
7	156	19419
8	158	17504
9	164	16265
10	168	15126
11	170	14068
12	172	13120
13	178	12589
14	180	11873
15	183	11260
16	185	10729
17	187	10217
18	189	9790
19	192	9423
20	197	9218
21	199	8880
22	201	8567
23	203	8292
24	208	8137
25	211	7906
26	213	7696
27	222	7706
28	225	7555
29	227	7355
30	229	7160
31	237	7175
32	239	7011
33	241	6857
34	243	6705
35	245	6563
36	247	6437
37	249	6317
38	251	6196
39	253	6082
40	255	5965
41	259	5910
42	260	5807
43	262	5702
44	263	5601
45	265	5502
46	266	5406
47	267	5311
48	269	5226
49	271	5165
50	273	5088
51	275	5016
52	276	4940
53	278	4874
54	279	4804
55	281	4743
56	282	4679
57	287	4663
58	288	4608
59	290	4554
60	292	4504
61	294	4451
62	295	4397
63	297	4345
64	299	4305
65	300	4258
66	302	4211
67	303	4164
68	305	4117
69	306	4075
70	308	4035
71	309	3994
72	311	3953
73	313	3921
74	314	3884
75	316	3848
76	318	3813
77	319	3775
78	320	3738
79	321	3702
80	323	3666
81	324	3631
82	325	3598
83	327	3571
84	328	3541
85	330	3510
86	331	3480
87	333	3454
88	335	3430
89	336	3406
90	338	3385
91	340	3363
92	342	3339
93	343	3314
94	345	3289
95	346	3262
96	347	3238
97	349	3213
98	350	3190
99	351	3167
100	353	3149
101	355	3128
102	356	3108
103	358	3086
104	359	3068
105	361	3052
106	363	3032
107	364	3010
108	366	2994
109	367	2976
110	369	2957
111	370	2937
112	371	2917
113	372	2897
114	373	2877
115	375	2862
116	376	2844
117	378	2827
118	380	2815
119	382	2802
120	383	2788
121	385	2770
122	386	2754
123	387	2737
124	388	2720
125	389	2704
126	390	2686
127	392	2671
128	394	2660
129	395	2646
130	397	2634
131	398	2619
132	399	2603
133	400	2588
134	401	2575
135	403	2561
136	404	2548
137	405	2534
138	407	2524
139	409	2512
140	410	2501
141	411	2486
142	412	2473
143	413	2460
144	415	2447
145	416	2434
146	417	2421
147	418	2408
148	419	2396
149	421	2388
150	422	2377
151	424	2366
152	425	2354
153	426	2344
154	428	2335
155	430	2326
156	431	2316
157	432	2306
158	434	2296
159	436	2289
160	437	2279
161	438	2269
162	440	2260
163	441	2250
164	442	2240
165	443	2229
166	445	2220
167	446	2211
168	447	2202
169	449	2194
170	451	2187
171	452	2180
172	454	2171
173	455	2162
174	456	2153
175	458	2144
176	459	2135
177	460	2126
178	462	2121
179	464	2115
180	466	2111
181	467	2101
182	468	2092
183	469	2082
184	470	2073
185	471	2063
186	472	2054
187	473	2045
188	474	2036
189	476	2030
190	478	2024
191	479	2017
192	480	2008
193	481	1999
194	482	1991
195	483	1982
196	484	1974
197	485	1965
198	486	1957
199	487	1949
200	488	1940
201	489	1932
202	491	1929
203	493	1924
204	494	1917
205	495	1909
206	496	1901
207	497	1894
208	498	1886
209	499	1878
210	500	1871
211	501	1863
212	502	1856
213	503	1849
214	505	1844
215	506	1838
216	508	1833
217	509	1826
218	510	1819
219	511	1812
220	512	1805
221	513	1798
222	514	1791
223	515	1784
224	516	1777
225	517	1771
226	518	1766
227	520	1761
228	522	1757
229	523	1752
230	524	1745
231	525	1739
232	526	1732
233	527	1726
234	528	1720
235	529	1714
236	530	1708
237	532	1703
238	533	1699
239	535	1694
240	536	1689
241	537	1684
242	538	1678
243	540	1673
244	541	1667
245	542	1661
246	543	1656
247	544	1650
248	545	1646
249	550	1650
250	552	1648
251	554	1646
252	556	1643
253	558	1640
254	560	1638
255	563	1637
256	565	1635
257	567	1632
258	569	1628
259	570	1624
260	572	1622
261	578	1629
262	580	1627
263	582	1625
264	585	1623
265	587	1621
266	589	1619
267	591	1616
268	593	1612
269	594	1608
270	596	1604
271	598	1600
272	599	1596
273	601	1592
274	603	1591
275	606	1590
276	607	1586
277	609	1582
278	610	1578
279	612	1574
280	613	1570
281	615	1567
282	620	1571
283	622	1569
284	624	1566
285	626	1563
286	628	1562
287	635	1571
288	638	1569
289	640	1568
290	642	1566
291	647	1571
292	650	1570
293	652	1568
294	654	1565
295	656	1562
296	658	1558
297	660	1555
298	663	1556
299	666	1556
300	668	1553
301	671	1551
302	672	1547
303	674	1544
304	677	1542
305	679	1541
306	681	1539
307	683	1536
308	685	1533
309	687	1530
310	690	1530
311	693	1529
312	695	1526
313	697	1524
314	699	1521
315	701	1518
316	703	1515
317	708	1518
318	712	1521
319	714	1518
320	716	1515
321	720	1516
322	722	1514
323	724	1511
324	726	1508
325	728	1505
326	730	1502
327	732	1501
328	736	1501
329	738	1498
330	739	1495
331	741	1492
332	743	1488
333	744	1485
334	746	1482
335	749	1480
336	751	1478
337	753	1475
338	755	1473
339	757	1470
340	761	1472
341	764	1470
342	766	1467
343	768	1465
344	770	1463
345	772	1461
346	776	1460
347	778	1459
348	780	1456
349	783	1454
350	786	1454
351	792	1459
352	794	1456
353	798	1456
354	800	1454
355	802	1451
356	807	1454
357	811	1454
358	814	1454
359	817	1452
360	820	1452
361	824	1453
362	826	1450
363	829	1448
364	831	1446
365	834	1445
366	838	1445
367	841	1445
368	843	1443
369	845	1440
370	848	1438
371	851	1436
372	854	1436
373	856	1434
374	858	1431
375	860	1428
376	864	1429
377	867	1426
378	870	1426
379	872	1423
380	874	1420
381	876	1417
382	879	1416
383	881	1413
384	883	1411
385	885	1408
386	887	1406
387	890	1404
388	893	1403
389	898	1404
390	909	1416
391	913	1416
392	915	1414
393	917	1411
394	923	1414
395	928	1415
396	931	1414
397	936	1416
398	941	1417
399	943	1415
400	947	1414
401	950	1413
402	953	1412
403	956	1411
404	959	1408
405	962	1408
406	982	1432
407	987	1432
408	989	1429
409	991	1426
410	995	1426
411	998	1425
412	1000	1422
413	1003	1420
414	1005	1416
415	1007	1413
416	1009	1410
417	1011	1408
418	1014	1407
419	1022	1411
420	1028	1415
421	1035	1418
422	1038	1416
423	1040	1413
424	1049	1419
425	1054	1420
426	1058	1420
427	1061	1419
428	1064	1416
429	1066	1413
430	1069	1411
431	1073	1410
432	1078	1412
433	1081	1410
434	1083	1406
435	1088	1408
436	1091	1406
437	1094	1404
438	1097	1403
439	1107	1408
440	1109	1406
441	1111	1403
442	1114	1401
443	1118	1400
444	1121	1398
445	1123	1395
446	1125	1392
447	1128	1390
448	1131	1388
449	1139	1392
450	1140	1388
451	1143	1385
452	1146	1384
453	1149	1382
454	1151	1379
455	1153	1376
456	1156	1373
457	1158	1370
458	1161	1369
459	1163	1366
460	1165	1363
461	1167	1359
462	1169	1356
463	1171	1353
464	1174	1350
465	1176	1348
466	1179	1345
467	1181	1342
468	1183	1339
469	1184	1336
